,title,price,location,date,views,Marke,Modell,Kilometerstand,Erstzulassung,Kraftstoffart,Leistung,Getriebe,Fahrzeugtyp,HU bis,Umweltplakette,Schadstoffklasse,Außenfarbe,Material Innenausstattung,Fahrzeugzustand,Anzahl Türen
0,VW Golf Sportsvan 2017 Benzin,12.499 € VB,49448 Niedersachsen - Hüde,18.04.2020,00809,Volkswagen,Golf,58.000 km,April 2017,Benzin,110 PS,Manuell,Limousine,April 2022,4 (Grün),Euro6,Schwarz,Stoff,Unbeschädigtes Fahrzeug,XXX
1,SEHR GEPFLEGTER VW VOLKSWAGEN GOLF PLUS TEAM TDI 140PS,4.999 € VB,54576 Rheinland-Pfalz - Hillesheim (Eifel),01.05.2020,00648,Volkswagen,Golf,228.000 km,Oktober 2010,Diesel,140 PS,Manuell,Limousine,Januar 2021,4 (Grün),Euro5,XXX,Stoff,Unbeschädigtes Fahrzeug,4/5
2,Volkswagen Golf 2.0 / BBS felgen / So WI Reifen/,1.800 €,38304 Niedersachsen - Wolfenbüttel,06.05.2020,00002,Volkswagen,Golf,224.200 km,Februar 2000,Benzin,116 PS,Manuell,Limousine,Dezember 2021,4 (Grün),Euro2,Blau,Stoff,Unbeschädigtes Fahrzeug,4/5
3,Volkswagen Golf VI 2.0 TDI GTD AHK Navi Schiebedach (Klima),5.000 €,06785 Sachsen-Anhalt - Oranienbaum,06.05.2020,00020,Volkswagen,Golf,116.000 km,Dezember 2012,Diesel,170 PS,Manuell,Limousine,XXX,XXX,Euro5,Schwarz,Vollleder,Unbeschädigtes Fahrzeug,4/5
4,Volkswagen Golf 2.0 TSI DSG BMT GTI Performance Vollleder,6.000 €,06785 Sachsen-Anhalt - Oranienbaum,06.05.2020,00022,Volkswagen,Golf,96.000 km,Dezember 2013,Benzin,230 PS,Automatik,Limousine,XXX,XXX,Euro6,Weiß,Vollleder,Unbeschädigtes Fahrzeug,4/5
5,Volkswagen Golf Sportsvan 1.2 TSI BMT mit Anhängekupplung,11.890 €,01909 Sachsen - Großharthau-Seeligstadt,06.05.2020,00001,Volkswagen,Golf,48.000 km,Juli 2015,Benzin,110 PS,Manuell,Van/Bus,Juli 2020,4 (Grün),Euro6,Orange,Stoff,Unbeschädigtes Fahrzeug,4/5
6,Golf 3 TDI mit einigen Mängeln,300 € VB,90473 Nürnberg - Südoststadt,06.05.2020,00012,Volkswagen,Golf,330.000 km,Juni 1997,Diesel,90 PS,Automatik,XXX,Mai 2020,XXX,XXX,Rot,Stoff,XXX,2/3
7,Volkswagen Golf GTI BlueMotion Technology DSG/DCC/Dynaudio,17.495 €,29320 Niedersachsen - Hermannsburg,06.05.2020,00005,Volkswagen,Golf,84.000 km,August 2013,Benzin,220 PS,Automatik,Limousine,August 2021,4 (Grün),Euro6,Schwarz,Teilleder,Unbeschädigtes Fahrzeug,4/5
8,Volkswagen Golf VII Lim. Highline BMT,8.900 €,66740 Saarland - Saarlouis,06.05.2020,00009,Volkswagen,Golf,199.000 km,September 2015,Diesel,150 PS,Manuell,Limousine,XXX,4 (Grün),Euro6,Silber,Stoff,Unbeschädigtes Fahrzeug,4/5
9,Volkswagen Golf 1 Cabrio,4.500 €,26935 Niedersachsen - Stadland,06.05.2020,00038,Volkswagen,Golf,193.000 km,November 1990,Benzin,98 PS,Manuell,Cabrio,Juli 2021,4 (Grün),Euro1,XXX,Vollleder,Unbeschädigtes Fahrzeug,2/3
10,Volkswagen VW Golf 2.0 TDI Tour Edition,1.800 € VB,85391 Bayern - Allershausen,06.05.2020,00026,Volkswagen,Golf,295.482 km,Februar 2007,Diesel,140 PS,Manuell,Limousine,April 2020,4 (Grün),Euro4,Schwarz,XXX,XXX,4/5
